City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Mount Pleasant,US,89.06,clear sky,32.7941,-79.8626,Best Western Patriots Point
146,Los Llanos De Aridane,ES,79.12,clear sky,28.6585,-17.9182,Valle Aridane
149,Manzil Salim,TN,80.76,clear sky,35.8567,8.4765,mohamed ben khlil omri
157,Camacha,PT,72.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
159,Kapaa,US,76.1,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
160,Nidzica,PL,74.79,overcast clouds,53.3605,20.4275,Zajazd Leśny Noclegi Wesela Przyjęcia Grupy Zorganizowane Komunie Imprezy Grill
163,Salamanca,ES,89.38,scattered clouds,40.8333,-6.0,Palacio Carrascalino
166,Havre-Saint-Pierre,CA,73.76,clear sky,50.2334,-63.5986,Auberge Niapiskau
170,Nioro,GM,79.41,moderate rain,13.35,-15.75,
171,Cortes,ES,89.65,overcast clouds,41.9395,-1.4396,Rincon de bu
172,Hosbach,DE,80.35,scattered clouds,50.0,9.2,Landhotel Klingerhof GmbH Hösbach
173,Broome,US,79.68,broken clouds,42.2506,-75.833,Chenango Valley State Park
174,Qiyang,CN,81.82,broken clouds,26.5911,111.8474,鑫利大酒店
175,Panama City,PA,77.29,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
176,Shenjiamen,CN,79.77,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
178,Kefalos,GR,77.22,clear sky,36.7453,26.9589,Kokalakis Hotel
179,Bengkulu,ID,74.46,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
183,Puerto Escondido,MX,88.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
185,Sochi,RU,77.09,scattered clouds,43.6,39.7303,Bounty Hotel
191,San Policarpo,PH,77.22,light rain,12.1791,125.5072,Agapita M. Nicart
193,Loiza,PR,89.85,scattered clouds,18.4313,-65.8802,Vacation Realty
199,Awjilah,LY,88.07,clear sky,29.1081,21.2869,المنزل
202,Lang Son,VN,74.23,scattered clouds,21.8333,106.7333,Khai Nga Hotel
207,Ciudad Bolivar,VE,75.52,overcast clouds,8.1222,-63.5497,Hotel Edi
208,Portland,US,79.61,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
209,Lagoa,PT,72.86,broken clouds,39.05,-27.9833,Casa Das Faias
213,Axim,GH,76.87,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
215,Shache,CN,79.84,overcast clouds,38.4167,77.2406,Delong Hotel
217,Turayf,SA,89.85,clear sky,31.6725,38.6637,Turaif
220,San Lazaro,BZ,87.26,scattered clouds,18.0387,-88.6622,
221,Abu Zabad,SD,79.05,overcast clouds,12.35,29.25,حامد محمد نور
222,Rodrigues Alves,BR,82.6,clear sky,-7.738,-72.6509,Pousada Aconchego
225,Ishigaki,JP,80.73,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
226,Marsh Harbour,BS,84.94,clear sky,26.5412,-77.0636,Abaco Beach Resort
227,Bukoba,TZ,73.24,scattered clouds,-1.3317,31.8122,Elct Bukoba Hotel and Tours
229,Middle Island,US,83.03,clear sky,40.8843,-72.9373,Cathedral pines
232,Dicabisagan,PH,78.08,light rain,17.0818,122.4157,Nancy Montanes Bernardo
236,Liverpool,GB,70.38,scattered clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
238,Tripoli,LY,81.41,clear sky,32.8752,13.1875,Al Waddan Hotel
240,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
241,Upata,VE,78.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
242,Tarakan,ID,78.3,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
243,Mogadishu,SO,76.39,few clouds,2.0371,45.3438,Hotel Juba
244,Itarema,BR,86.32,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
247,Mayo,US,82.35,clear sky,38.8876,-76.5119,Resorts Resource Group International
248,Komsomolskiy,UZ,70.52,few clouds,40.4272,71.7189,Ikathouse
249,Isangel,VU,72.07,few clouds,-19.55,169.2667,Tanna Lodge
250,Veraval,IN,80.94,overcast clouds,20.9,70.3667,Lords Inn Somnath
255,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
258,Lorengau,PG,79.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
259,Madras,IN,78.78,overcast clouds,13.0878,80.2785,"Taj Connemara, Chennai"
260,Mattawa,US,78.8,few clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
262,Gezing,AT,71.85,broken clouds,47.9178,13.1299,Landhaus Brieger
265,Kidal,ML,89.33,broken clouds,18.4411,1.4078,
266,Svetlogorsk,BY,72.55,broken clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
267,Hasaki,JP,75.6,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
268,Gimli,CA,80.13,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
270,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
271,Russell,US,85.01,scattered clouds,32.3502,-85.1999,Macs
272,Auki,SB,75.58,broken clouds,-8.7676,160.7034,Auki Motel
274,Caravelas,BR,71.06,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
275,Bongandanga,CD,73.02,light rain,1.5,21.05,
276,Guerrero Negro,MX,76.39,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
277,Masuguru,TZ,81.79,broken clouds,-11.3667,38.4167,
278,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
279,Niteroi,BR,76.62,broken clouds,-22.8833,-43.1036,Hotel Viareggio
280,Bloomington,US,81.32,scattered clouds,44.8408,-93.2983,La Quinta Inn by Wyndham Minneapolis Airport Bloomington
281,Jasper,US,84.94,scattered clouds,37.2001,-94.3502,Guest House Motel
282,Asau,RO,72.52,broken clouds,46.4333,26.4,Casa Mika Ciobanus
283,Bijapur,IN,72.41,overcast clouds,16.8333,75.7,Rajdhani Lodge
288,Peniche,PT,75.29,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
290,Kilindoni,TZ,75.42,scattered clouds,-7.9139,39.6668,Bustani B&B
292,Banda Aceh,ID,80.76,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
294,Sechura,PE,76.6,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
295,Marzuq,YE,81.99,broken clouds,14.4,46.4667,حيد القفلة
298,Elizabeth City,US,87.06,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
302,Licata,IT,82.15,clear sky,37.1071,13.9461,Villa Giuliana
303,Akyab,MM,81.01,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
306,Mayor Pablo Lagerenza,PY,80.94,clear sky,-19.9309,-60.7718,
309,Deori Khas,IN,73.35,very heavy rain,23.4,79.0167,SAMARPAD COMPUTER DEORI
310,Bubaque,GW,79.66,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
312,Naze,JP,79.72,moderate rain,28.3667,129.4833,Shishime Hotel
313,Kyaikkami,MM,77.85,moderate rain,16.08,97.5675,St. joseph catholic church
315,Iracoubo,GF,82.72,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
316,Abbeville,FR,74.5,broken clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
318,Easley,US,81.27,overcast clouds,34.8298,-82.6015,Quality Inn & Suites
319,Bairiki,KI,80.6,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
323,Konskie,PL,75.18,overcast clouds,51.1917,20.4061,Agroturystyka Barycz - Domek Marcel
324,Bandarbeyla,SO,76.53,scattered clouds,9.4942,50.8122,JABIR HOTEL
325,Cavinti,PH,73.22,moderate rain,14.2448,121.508,Baliraya
328,Yegros,PY,73.8,clear sky,-26.45,-56.4,Damián Paiva
331,Namwala,ZM,74.82,clear sky,-15.7504,26.4384,Corner Point Lodge
332,May Pen,JM,88.81,overcast clouds,17.9645,-77.2451,Mus Com Bac
334,Itamaraca,BR,80.65,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
337,Meulaboh,ID,76.53,heavy intensity rain,4.1363,96.1285,Kost Pria
338,Gangakher,IN,76.44,overcast clouds,18.95,76.75,Mauli Niwas
345,Metro,ID,73.65,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
347,Tautira,PF,77.56,scattered clouds,-17.7333,-149.15,Pension Oaoa
351,Mbanza-Ngungu,CD,79.36,light rain,-5.25,14.8667,Hotel Full Business
352,Belmonte,BR,75.92,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
353,Aksu,CN,75.58,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
354,Yaring,TH,77.49,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
355,Muros,ES,81.68,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
357,Saint Anthony,US,81.14,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
359,Qandala,SO,88.95,scattered clouds,11.472,49.8728,
362,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
363,Puerto Leguizamo,CO,73.2,overcast clouds,-0.1934,-74.7819,la casona de juancho
365,Nezlobnaya,RU,77.14,broken clouds,44.1181,43.4028,Otel' Randevu
366,Nichinan,JP,79.0,few clouds,31.6,131.3667,Guest House Aki
367,Pontes E Lacerda,BR,89.71,clear sky,-15.2261,-59.3353,Hotel Bressan
369,Santa Catalina,PH,79.16,light rain,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
371,Nouadhibou,MR,80.58,broken clouds,20.931,-17.0347,El Medina
372,Gizo,SB,80.53,light rain,-8.103,156.8419,Imagination Island
378,Tecoanapa,MX,86.32,overcast clouds,16.5167,-98.75,Hotel Manglares
379,Bataipora,BR,73.9,few clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
380,Estevan,CA,86.34,clear sky,49.1334,-102.9842,"Motel 6 Estevan, SK"
383,Ponta Delgada,PT,74.12,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
387,Mujiayingzi,CN,70.29,overcast clouds,42.1167,118.7833,Jinjiang Hotel
389,Kirakira,SB,77.72,broken clouds,-10.4544,161.9205,SanBiz Lodge
390,Lasa,IT,72.48,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
391,Shahreza,IR,75.06,scattered clouds,32.0339,51.8794,خوابگاه
394,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
395,Kapit,MY,74.21,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
396,Winnemucca,US,82.45,clear sky,40.973,-117.7357,Winners Inn Casino
398,Tabou,CI,77.77,few clouds,4.423,-7.3528,hotêl doufoulougou
400,Nova Era,BR,72.88,broken clouds,-19.75,-43.0375,Garden Hotel
403,Krasnogvardeyskoye,RU,78.13,broken clouds,45.8456,41.5186,Staraya Mel'nitsa Gostinitsa
404,Kita,ML,81.21,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
405,Mirai,BR,72.3,broken clouds,-21.1953,-42.6142,Camapuan Palace Hotel
407,Lourdes,FR,76.12,few clouds,43.1,-0.05,"Hôtel Saint Etienne, Lourdes"
409,Tabas,IR,84.45,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
410,Surt,LY,82.31,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
412,Ovalle,CL,70.05,few clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
414,Dingle,PH,76.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
418,Sibolga,ID,76.37,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
419,Singaraja,ID,75.42,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
420,Sungairaya,ID,76.96,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
424,Grenville,GD,75.25,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
425,Acari,PE,74.95,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
426,Vao,NC,71.37,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
429,Mattru,SL,76.01,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
430,Kushima,JP,78.51,scattered clouds,31.4583,131.2333,Hanaoka
