City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Ponta Do Sol,PT,2022-08-20 16:23:11,32.6667,-17.1,81.72,66,1,0.16
218,Constantine,DZ,2022-08-20 16:23:12,36.365,6.6147,89.01,25,0,11.5
219,Sao Luis,BR,2022-08-20 16:23:12,-2.5297,-44.3028,89.8,55,40,5.75
220,Padang,ID,2022-08-20 16:23:12,-0.9492,100.3543,75.51,96,100,1.79
221,La Plata,AR,2022-08-20 16:23:13,-34.9215,-57.9545,60.03,42,17,13.09
222,Tezu,IN,2022-08-20 16:23:13,27.9167,96.1667,77.85,96,53,3.31
223,Nagato,JP,2022-08-20 16:23:14,34.3833,131.2,78.46,91,76,0.74
224,Roura,GF,2022-08-20 16:23:14,4.7263,-52.3274,89.51,58,94,11.5
225,Ushibuka,JP,2022-08-20 16:23:14,32.1906,130.0228,82.8,90,85,7.72
226,Lagoa,PT,2022-08-20 16:21:29,39.05,-27.9833,74.25,72,9,3.8
227,Cabra,ES,2022-08-20 16:23:15,37.4725,-4.4421,97.11,12,0,9.51
228,Abu Samrah,SY,2022-08-20 16:23:15,35.3029,37.1841,88.65,41,0,15.12
229,Santa Maria,BR,2022-08-20 16:23:15,-29.6842,-53.8069,58.3,47,0,5.75
230,Muli,MV,2022-08-20 16:23:16,2.9167,73.5667,82.49,71,72,7.18
231,Beringovskiy,RU,2022-08-20 16:23:16,63.05,179.3167,43.74,66,1,3.69
232,Znamenskoye,RU,2022-08-20 16:24:16,57.1281,73.8282,56.71,90,99,4.72
233,Verkhniy Ufaley,RU,2022-08-20 16:24:17,56.0567,60.2306,62.15,87,69,3.89
234,Riohacha,CO,2022-08-20 16:24:17,11.5444,-72.9072,93.31,49,40,6.91
235,Okhotsk,RU,2022-08-20 16:24:17,59.3833,143.3,53.76,94,100,10.29
236,Sawakin,SD,2022-08-20 16:24:18,19.1059,37.3321,102.67,51,12,6.64
237,Khatassy,RU,2022-08-20 16:24:18,61.9036,129.6383,51.78,95,100,4.36
238,Aykhal,RU,2022-08-20 16:24:19,66.0,111.5,36.82,87,100,4.85
239,Sulphur Springs,US,2022-08-20 16:24:19,33.1385,-95.6011,87.91,74,100,8.05
240,Devils Lake,US,2022-08-20 16:24:19,48.1128,-98.8651,71.94,72,0,6.91
241,Kavaratti,IN,2022-08-20 16:24:20,10.5669,72.642,81.9,78,57,12.66
242,Mehamn,NO,2022-08-20 16:24:20,71.0357,27.8492,71.55,73,96,11.5
243,Tasiilaq,GL,2022-08-20 16:24:20,65.6145,-37.6368,42.96,86,100,4.61
244,Vostok,RU,2022-08-20 16:24:21,46.4856,135.8833,46.99,94,11,7.0
245,Makakilo City,US,2022-08-20 16:24:21,21.3469,-158.0858,77.32,74,0,11.5
246,Gazli,UZ,2022-08-20 16:24:21,40.1333,63.45,82.49,12,0,20.0
247,Qui Nhon,VN,2022-08-20 16:24:22,13.7667,109.2333,79.43,84,100,5.75
248,Mount Isa,AU,2022-08-20 16:24:22,-20.7333,139.5,58.77,26,0,9.22
249,North Bend,US,2022-08-20 16:24:23,43.4065,-124.2243,65.16,85,100,6.91
250,Esmeraldas,BR,2022-08-20 16:24:23,-19.7625,-44.3139,75.31,46,56,9.89
251,Vao,NC,2022-08-20 16:24:23,-22.6667,167.4833,72.21,86,100,7.94
252,Guapi,CO,2022-08-20 16:24:24,2.5708,-77.8854,79.48,77,99,3.65
253,Torbay,CA,2022-08-20 16:24:24,47.6666,-52.7314,74.17,72,75,16.11
254,Sapele,NG,2022-08-20 16:24:24,5.8941,5.6767,83.53,61,88,7.65
255,Caravelas,BR,2022-08-20 16:24:25,-17.7125,-39.2481,76.87,62,3,10.94
256,Berlevag,NO,2022-08-20 16:24:25,70.8578,29.0864,71.6,68,100,11.5
257,Borogontsy,RU,2022-08-20 16:24:26,62.6683,131.1683,50.41,99,100,4.07
258,Castro,BR,2022-08-20 16:24:27,-24.7911,-50.0119,55.35,62,100,10.4
259,Atambua,ID,2022-08-20 16:24:27,-9.1061,124.8925,68.18,82,3,7.63
260,Tessalit,ML,2022-08-20 16:24:27,20.1986,1.0114,100.85,22,3,18.48
261,Pashiya,RU,2022-08-20 16:24:28,58.4324,58.2562,65.46,74,14,4.45
262,Guerrero Negro,MX,2022-08-20 16:24:28,27.9769,-114.0611,74.01,72,39,3.31
263,Bonavista,CA,2022-08-20 16:24:29,48.6499,-53.1147,66.47,82,77,11.18
264,Taitung,TW,2022-08-20 16:24:29,22.7583,121.1444,82.49,83,100,3.67
265,La Asuncion,VE,2022-08-20 16:24:29,11.0333,-63.8628,73.13,100,100,4.61
266,Honningsvag,NO,2022-08-20 16:24:30,70.9821,25.9704,65.95,72,75,10.36
267,Flin Flon,CA,2022-08-20 16:24:31,54.7682,-101.865,75.04,60,40,9.22
268,Cidreira,BR,2022-08-20 16:24:32,-30.1811,-50.2056,56.35,64,0,13.94
269,Oistins,BB,2022-08-20 16:21:35,13.0667,-59.5333,87.89,70,40,12.66
270,Roald,NO,2022-08-20 16:24:32,62.5833,6.1333,66.0,77,75,4.61
271,Uwajima,JP,2022-08-20 16:24:33,33.2238,132.56,78.73,90,100,5.3
272,Dunedin,NZ,2022-08-20 16:23:24,-45.8742,170.5036,52.81,86,100,2.98
273,Port Lincoln,AU,2022-08-20 16:21:16,-34.7333,135.8667,53.06,89,59,7.9
274,Arrifes,PT,2022-08-20 16:25:33,37.7667,-25.7,71.85,68,75,9.22
275,Mayo,US,2022-08-20 16:25:34,38.8876,-76.5119,88.66,66,0,8.05
276,Hambantota,LK,2022-08-20 16:25:34,6.1241,81.1185,79.72,78,65,17.83
277,Fairbanks,US,2022-08-20 16:25:39,64.8378,-147.7164,55.24,72,75,5.75
278,Ishigaki,JP,2022-08-20 16:25:39,24.3448,124.1572,80.73,94,100,3.44
279,Palamos,ES,2022-08-20 16:25:39,41.8484,3.1291,87.4,59,0,4.0
280,Puerto Baquerizo Moreno,EC,2022-08-20 16:25:40,-0.9,-89.6,70.79,83,75,9.22
281,Morondava,MG,2022-08-20 16:25:40,-20.2833,44.2833,74.16,80,0,10.96
282,Marawi,PH,2022-08-20 16:25:41,7.9986,124.2928,69.13,91,100,3.94
283,Valparai,IN,2022-08-20 16:25:41,10.3667,76.9667,66.67,92,100,4.47
284,Dingle,PH,2022-08-20 16:25:41,10.9995,122.6711,76.95,90,100,2.44
285,Luau,AO,2022-08-20 16:25:42,-10.7073,22.2247,85.93,12,18,3.09
286,San Vicente,AR,2022-08-20 16:25:42,-26.6167,-54.1333,63.16,33,0,1.92
287,Pathein,MM,2022-08-20 16:25:43,16.7833,94.7333,79.27,92,100,6.55
288,Tromso,NO,2022-08-20 16:25:43,69.6496,18.957,64.38,88,75,5.75
289,Cockburn Town,TC,2022-08-20 16:25:43,21.4612,-71.1419,83.37,77,14,18.66
290,Katobu,ID,2022-08-20 16:25:44,-4.9408,122.5276,75.18,88,68,6.33
291,Byron Bay,AU,2022-08-20 16:25:30,-28.65,153.6167,51.71,78,32,5.53
292,Masallatah,LY,2022-08-20 16:25:44,32.6167,14.0,80.44,60,0,17.58
293,Altay,CN,2022-08-20 16:25:45,47.8667,88.1167,50.05,37,42,6.24
